frame_number,capture_ts_ms,decode_ts_ms
1,1434428.867,6382.766
2,1434462.396,6386.526
3,1434479.591,6388.660
4,1434495.775,6391.698
5,1434512.829,6407.030
6,1434528.994,6421.513
7,1434546.177,6440.478
8,1434562.350,6453.115
9,1434579.449,6470.790
10,1434595.722,6487.822
11,1434612.645,6504.861
12,1434629.136,6519.831
13,1434646.038,6536.302
14,1434662.573,6553.417
15,1434679.821,6570.554
16,1434696.084,6586.358
17,1434712.825,6603.104
18,1434729.174,6620.195
19,1434746.093,6636.209
20,1434762.506,6653.450
21,1434779.472,6671.231
22,1434795.857,6686.690
23,1434812.930,6703.801
24,1434829.225,6719.545
25,1434846.195,6736.688
26,1434862.598,6753.770
27,1434879.655,6769.954
28,1434896.000,6786.809
29,1434912.905,6803.630
30,1434929.345,6819.617
31,1434946.289,6836.459
32,1434962.763,6853.806
33,1434979.685,6869.707
34,1434996.072,6886.570
35,1435013.080,6903.665
36,1435029.435,6920.564
37,1435046.399,6936.515
38,1435062.809,6953.519
39,1435079.950,6970.100
40,1435096.222,6987.088
41,1435113.141,7003.005
42,1435129.958,7019.665
43,1435146.671,7036.349
44,1435162.909,7053.437
45,1435179.899,7069.997
46,1435196.395,7087.115
47,1435213.629,7103.021
48,1435229.725,7119.461
49,1435246.664,7136.507
50,1435263.021,7153.550
51,1435279.959,7170.178
52,1435296.401,7187.046
53,1435313.339,7202.960
54,1435329.742,7219.583
55,1435346.722,7236.496
56,1435363.127,7253.547
57,1435380.048,7270.145
58,1435396.483,7287.114
59,1435413.420,7303.048
60,1435429.840,7319.675
61,1435446.774,7336.507
62,1435463.215,7353.668
63,1435480.222,7370.281
64,1435496.579,7387.225
65,1435513.715,7403.138
66,1435529.982,7419.670
67,1435546.901,7436.765
68,1435563.370,7453.552
69,1435580.311,7469.446
70,1435596.662,7487.178
71,1435613.707,7503.486
72,1435630.101,7520.057
73,1435647.060,7536.702
74,1435663.405,7553.739
75,1435680.528,7569.282
76,1435696.865,7587.131
77,1435713.697,7603.327
78,1435730.519,7620.216
79,1435747.339,7636.203
80,1435763.562,7653.049
81,1435780.490,7670.270
82,1435796.903,7687.228
83,1435813.975,7703.023
84,1435830.267,7719.991
85,1435847.194,7736.936
86,1435863.613,7753.086
87,1435880.719,7770.509
88,1435897.086,7786.431
89,1435913.969,7803.530
90,1435930.357,7820.005
91,1435947.370,7837.032
92,1435963.715,7852.851
93,1435980.678,7870.226
94,1435997.085,7887.055
95,1436014.043,7902.887
96,1436030.454,7923.560
97,1436047.396,7936.755
98,1436063.812,7953.758
99,1436080.758,7969.738
100,1436097.183,7986.702
101,1436114.160,8003.766
102,1436130.780,8019.488
103,1436148.010,8036.415
104,1436163.960,8053.476
105,1436180.952,8070.465
106,1436197.321,8086.399
107,1436214.276,8103.158
108,1436230.718,8120.569
109,1436247.655,8136.401
110,1436264.093,8153.338
111,1436281.482,8170.859
112,1436297.488,8186.737
113,1436314.390,8203.759
114,1436330.765,8219.846
115,1436347.717,8236.970
116,1436364.117,8253.043
117,1436381.074,8270.028
118,1436397.488,8286.969
119,1436414.435,8303.012
120,1436430.905,8319.864
121,1436447.832,8336.932
122,1436464.215,8353.716
123,1436481.187,8369.754
124,1436497.646,8386.993
125,1436514.555,8403.928
126,1436530.925,8419.896
127,1436547.964,8436.681
128,1436564.321,8454.155
129,1436581.281,8469.638
130,1436597.709,8486.356
131,1436614.667,8503.183
132,1436631.043,8520.940
133,1436648.024,8537.177
134,1436664.428,8553.220
135,1436681.541,8570.224
136,1436697.880,8588.258
137,1436714.890,8603.974
138,1436731.353,8621.198
139,1436748.528,8638.124
140,1436764.633,8654.215
141,1436781.517,8671.172
142,1436797.896,8687.982
143,1436815.102,8703.989
144,1436831.313,8720.889
145,1436848.175,8737.883
146,1436864.615,8753.933
147,1436881.627,8771.104
148,1436898.012,8787.980
149,1436915.026,8803.878
150,1436931.405,8820.736
151,1436948.336,8837.995
152,1436964.794,8853.822
153,1436981.756,8870.933
154,1436998.111,8887.737
155,1437015.195,8904.671
156,1437031.493,8920.816
157,1437048.478,8938.041
158,1437064.857,8953.988
159,1437081.785,8970.974
160,1437098.181,8988.122
161,1437115.165,9004.138
162,1437131.545,9021.020
163,1437149.055,9038.097
164,1437164.995,9054.127
165,1437181.882,9070.984
166,1437198.399,9087.984
167,1437215.275,9103.956
168,1437231.672,9121.042
169,1437248.635,9137.904
170,1437266.271,9155.070
171,1437284.650,9171.318
172,1437300.254,9187.640
173,1437315.674,9204.702
174,1437332.091,9221.705
175,1437348.959,9238.176
176,1437365.423,9253.957
177,1437381.447,9271.020
178,1437398.160,9290.752
179,1437414.792,9304.694
180,1437431.513,9326.329
181,1437448.184,9365.152
182,1437464.971,9367.273
183,1437481.895,9371.283
184,1437498.256,9387.144
185,1437515.125,9403.774
186,1437531.595,9420.849
187,1437548.347,9436.752
188,1437564.955,9453.816
189,1437581.615,9471.534
190,1437598.878,9486.467
191,1437615.346,9503.758
192,1437631.586,9521.277
193,1437648.278,9537.208
194,1437664.915,9553.242
195,1437681.679,9570.309
196,1437698.358,9587.303
197,1437715.300,9603.289
198,1437731.678,9620.141
199,1437748.456,9637.392
200,1437765.242,9653.459
201,1437781.941,9670.436
202,1437798.442,9687.185
203,1437815.134,9703.349
204,1437832.033,9720.111
205,1437848.476,9737.244
206,1437865.210,9753.150
207,1437882.047,9770.096
208,1437898.544,9787.151
209,1437915.191,9803.133
210,1437931.931,9819.961
211,1437948.596,9836.490
212,1437965.549,9853.357
213,1437981.907,9870.498
214,1437998.641,9886.789
215,1438015.275,9903.498
216,1438031.993,9920.340
217,1438048.697,9936.390
218,1438065.319,9953.629
219,1438082.058,9970.467
220,1438098.993,9986.372
221,1438115.378,10003.493
222,1438132.099,10020.501
223,1438149.018,10036.395
224,1438165.476,10053.437
225,1438182.157,10070.533
226,1438198.798,10087.196
227,1438215.806,10103.137
228,1438232.193,10120.356
229,1438248.880,10136.690
230,1438265.659,10154.142
231,1438282.369,10169.782
232,1438298.975,10186.880
233,1438315.822,10203.894
234,1438332.358,10219.689
235,1438349.002,10236.570
236,1438365.930,10253.787
237,1438382.352,10269.813
238,1438398.998,10286.632
239,1438415.711,10303.658
240,1438432.360,10320.557
241,1438449.098,10335.917
242,1438466.103,10353.025
243,1438482.422,10370.283
244,1438499.135,10386.438
245,1438515.777,10403.502
246,1438532.525,10420.461
247,1438549.204,10435.957
248,1438565.825,10453.134
249,1438582.548,10470.152
250,1438599.317,10486.453
251,1438616.232,10504.129
252,1438632.564,10520.344
253,1438649.360,10536.206
254,1438665.957,10553.300
255,1438682.678,10570.176
256,1438699.309,10586.618
257,1438716.365,10603.837
258,1438732.723,10622.709
259,1438749.392,10636.192
260,1438766.054,10653.139
261,1438782.765,10670.367
262,1438799.437,10686.738
263,1438816.090,10703.602
264,1438832.809,10719.674
265,1438849.483,10736.411
266,1438866.335,10753.392
267,1438882.877,10769.450
268,1438899.854,10786.777
269,1438916.186,10803.068
270,1438932.930,10819.891
271,1438949.555,10836.819
272,1438966.556,10852.647
273,1438982.964,10869.751
274,1438999.603,10886.571
275,1439016.329,10903.347
276,1439033.203,10920.504
277,1439049.837,10935.822
278,1439066.391,10952.739
279,1439083.086,10969.794
280,1439099.712,10986.325
281,1439116.481,11003.453
282,1439133.107,11020.396
283,1439150.136,11036.490
284,1439166.652,11052.980
285,1439183.224,11069.913
286,1439199.828,11086.429
287,1439216.834,11103.407
288,1439233.186,11120.468
289,1439249.907,11135.880
290,1439266.617,11152.938
291,1439283.359,11169.853
292,1439299.936,11186.345
293,1439318.474,11204.601
294,1439333.772,11219.229
295,1439350.350,11236.620
296,1439366.995,11253.489
297,1439383.665,11271.993
298,1439400.355,11288.676
299,1439417.138,11306.192
300,1439433.727,11321.964
301,1439450.319,11338.905
302,1439467.035,11355.966
303,1439483.753,11371.772
304,1439500.382,11388.684
305,1439516.986,11405.788
306,1439533.833,11422.706
307,1439550.500,11439.495
308,1439567.096,11455.584
309,1439583.637,11472.581
310,1439600.216,11489.274
311,1439616.969,11506.956
312,1439633.606,11522.165
313,1439650.340,11538.652
314,1439667.111,11555.922
315,1439684.045,11572.790
316,1439700.448,11589.240
317,1439717.141,11605.322
318,1439734.126,11622.021
319,1439750.454,11642.189
320,1439767.096,11655.849
321,1439783.901,11673.002
322,1439800.493,11689.197
323,1439817.161,11705.472
324,1439833.845,11722.588
325,1439850.485,11739.395
326,1439867.350,11755.304
327,1439883.936,11772.391
328,1439900.607,11789.058
329,1439917.249,11805.897
330,1439933.905,11822.159
331,1439950.914,11838.855
332,1439967.317,11855.619
333,1439984.183,11872.338
